,../../learning/pinball/data/res/actor-critic_steps*
0,2290.6666666666665
1,10000.0
2,8512.0
3,9804.333333333334
4,8485.666666666666
5,6952.666666666667
6,4182.0
7,3940.3333333333335
8,3870.0
9,1484.0
10,3369.0
11,2768.6666666666665
12,1067.3333333333333
13,1600.0
14,1131.0
15,4659.333333333333
16,6591.0
17,4500.666666666667
18,4373.666666666667
19,4173.333333333333
20,3941.3333333333335
21,3710.0
22,1381.0
23,1402.3333333333333
24,1865.3333333333333
25,3063.3333333333335
26,3301.0
27,1316.0
28,3845.3333333333335
29,869.0
30,824.6666666666666
31,544.6666666666666
32,431.3333333333333
33,1533.0
34,4236.666666666667
35,693.6666666666666
36,937.6666666666666
37,1848.3333333333333
38,1809.0
39,3610.6666666666665
40,261.6666666666667
41,4322.333333333333
42,6727.666666666667
43,4092.0
44,1173.0
45,4705.333333333333
46,2257.6666666666665
47,5942.666666666667
48,4444.0
49,2792.0
50,5614.333333333333
51,6852.0
52,5143.333333333333
53,7290.333333333333
54,6877.666666666667
55,3717.3333333333335
56,4073.3333333333335
57,6855.666666666667
58,9094.333333333334
59,10000.0
60,5723.666666666667
61,4889.666666666667
62,4161.666666666667
63,4249.333333333333
64,5460.666666666667
65,6274.333333333333
66,3763.3333333333335
67,3708.6666666666665
68,1223.0
69,4962.666666666667
70,1726.0
71,4109.333333333333
72,6474.666666666667
73,3255.6666666666665
74,2181.3333333333335
75,6237.666666666667
76,3980.6666666666665
77,1534.0
78,1807.3333333333333
79,1273.3333333333333
80,1337.0
81,1956.6666666666667
82,3051.0
83,787.6666666666666
84,1591.3333333333333
85,3669.6666666666665
86,2963.6666666666665
87,2526.3333333333335
88,1214.3333333333333
89,2217.0
90,656.3333333333334
91,1228.3333333333333
92,2842.3333333333335
93,1286.0
94,721.0
95,1958.3333333333333
96,811.3333333333334
97,1126.3333333333333
98,1246.3333333333333
99,879.3333333333334
100,721.0
101,2032.0
102,931.3333333333334
103,1868.3333333333333
104,2657.6666666666665
105,313.6666666666667
106,794.6666666666666
107,3137.3333333333335
108,1205.6666666666667
109,2073.6666666666665
110,933.3333333333334
111,1150.3333333333333
112,973.6666666666666
113,1602.0
114,710.3333333333334
115,326.3333333333333
116,635.3333333333334
117,869.0
118,505.6666666666667
119,1512.3333333333333
120,1952.0
121,1360.3333333333333
122,2265.0
123,686.6666666666666
124,708.0
125,373.6666666666667
126,1173.3333333333333
127,2502.3333333333335
128,765.0
129,1369.6666666666667
130,2994.0
131,782.0
132,738.6666666666666
133,166.0
134,1423.6666666666667
135,1475.3333333333333
136,1366.0
137,944.6666666666666
138,640.3333333333334
139,546.3333333333334
140,4880.0
141,1090.0
142,4068.6666666666665
143,3843.3333333333335
144,3045.0
145,328.3333333333333
146,1128.0
147,3620.0
148,3066.0
149,744.0
150,1973.0
151,504.0
152,1032.3333333333333
153,1747.0
154,958.3333333333334
155,1003.3333333333334
156,519.6666666666666
157,1168.6666666666667
158,856.0
159,1382.6666666666667
160,1945.0
161,2512.0
162,734.3333333333334
163,1287.3333333333333
164,2258.0
165,1232.3333333333333
166,1593.6666666666667
167,689.6666666666666
168,1575.0
169,570.3333333333334
170,1301.6666666666667
171,481.3333333333333
172,1444.6666666666667
173,4605.0
174,1245.6666666666667
175,647.0
176,1303.3333333333333
177,3971.3333333333335
178,733.3333333333334
179,3793.0
180,5368.0
181,2231.6666666666665
182,1036.3333333333333
183,1249.0
184,4224.666666666667
185,1047.0
186,335.6666666666667
187,764.6666666666666
188,2733.6666666666665
189,585.0
190,4154.0
191,1804.0
192,4358.333333333333
193,3869.6666666666665
194,3545.0
195,1015.0
196,835.0
197,1097.3333333333333
198,404.3333333333333
199,1953.0
